channel,title,picked,auto_topics,minutes,url,views,video_id
3Blue1Brown,"The determinant | Chapter 6, Essence of linear algebra",yes,algebra & equations; matrices & vectors; simulation,10.1,https://www.youtube.com/watch?v=Ip3X9LOh2dk,4900000,Ip3X9LOh2dk
3Blue1Brown,"Three-dimensional linear transformations | Chapter 5, Essence of linear algebra",yes,algebra & equations; geometry; matrices & vectors,4.8,https://www.youtube.com/watch?v=rHLEWRxRGiM,2700000,rHLEWRxRGiM
3Blue1Brown,"Matrix multiplication as composition | Chapter 4, Essence of linear algebra",yes,algebra & equations; matrices & vectors,10.1,https://www.youtube.com/watch?v=XkY2DOUCWMU,4400000,XkY2DOUCWMU
3Blue1Brown,"Linear transformations and matrices | Chapter 3, Essence of linear algebra",yes,algebra & equations; matrices & vectors,11.0,https://www.youtube.com/watch?v=kYB8IZa5AuE,7100000,kYB8IZa5AuE
3Blue1Brown,"Linear combinations, span, and basis vectors | Chapter 2, Essence of linear algebra",yes,algebra & equations; counting & combinatorics; matrices & vectors,10.0,https://www.youtube.com/watch?v=k7RM-ot2NWY,7400000,k7RM-ot2NWY
3Blue1Brown,"Vectors | Chapter 1, Essence of linear algebra",yes,algebra & equations; matrices & vectors,9.9,https://www.youtube.com/watch?v=fNk_zzaMoSs,12000000,fNk_zzaMoSs
3Blue1Brown,Essence of linear algebra preview,,algebra & equations; matrices & vectors,5.2,https://www.youtube.com/watch?v=kjBOesZCoqc,2700000,kjBOesZCoqc
3Blue1Brown,Triangle of Power,yes,geometry,7.7,https://www.youtube.com/watch?v=sULa9Lc4pck,810000,sULa9Lc4pck
3Blue1Brown,Snell's law proof using springs,,logic,4.0,https://www.youtube.com/watch?v=Iq1a_KJTWJ8,222000,Iq1a_KJTWJ8
3Blue1Brown,"The Brachistochrone, with Steven Strogatz",,,16.0,https://www.youtube.com/watch?v=Cld0p3a43fU,1400000,Cld0p3a43fU
3Blue1Brown,Fractal charm: Space filling curves,,recursion & fractals,2.6,https://www.youtube.com/watch?v=RU0wScIj36o,2000000,RU0wScIj36o
3Blue1Brown,Music And Measure Theory,,,13.2,https://www.youtube.com/watch?v=cyW5z-M2yzw,1600000,cyW5z-M2yzw
3Blue1Brown,How to count to 1000 on two hands,yes,,2.6,https://www.youtube.com/watch?v=1SMmc9gQmHQ,454000,1SMmc9gQmHQ
3Blue1Brown,What does it feel like to invent math?,,history,15.1,https://www.youtube.com/watch?v=XFDM1ip5HdU,4500000,XFDM1ip5HdU
3Blue1Brown,Euler's Formula and Graph Duality,,algebra & equations; complex numbers; graphs & pathfinding,7.5,https://www.youtube.com/watch?v=-9OUyo8NFZg,527000,-9OUyo8NFZg
3Blue1Brown,Euler's Formula Poem,,algebra & equations; complex numbers,1.1,https://www.youtube.com/watch?v=zLzLxVeqdQg,183000,zLzLxVeqdQg
3Blue1Brown,"e to the pi i, a nontraditional take (old version)",,exponentials & logarithms; trigonometry & waves,6.2,https://www.youtube.com/watch?v=F_0yfvm0UoU,2700000,F_0yfvm0UoU
Sebastian Lague,I Tried Coding my own Graphics Library,yes,3D graphics; programming practice,27.5,https://www.youtube.com/watch?v=_JGMgpyCTsY,424000,_JGMgpyCTsY
Sebastian Lague,Coding Adventure: Improving my Rubik's Cube Solver,yes,games & puzzles; programming practice,27.5,https://www.youtube.com/watch?v=Eysf6-E3ino,185000,Eysf6-E3ino
Sebastian Lague,Coding Adventure: Rubik's Cube,yes,games & puzzles; programming practice,24.4,https://www.youtube.com/watch?v=fy0HRViXZnE,349000,fy0HRViXZnE
Sebastian Lague,Coding Adventure: Additive Synthesis,yes,programming practice,35.5,https://www.youtube.com/watch?v=rRnOtKlg4jA,358000,rRnOtKlg4jA
Sebastian Lague,Coding Adventure: Analyzing Audio,yes,programming practice,21.5,https://www.youtube.com/watch?v=08mmKNLQVHU,356000,08mmKNLQVHU
Sebastian Lague,Bad Apple!! but it's a smoke simulation,,simulation,3.9,https://www.youtube.com/watch?v=8BCdKJ4ObZ4,152000,8BCdKJ4ObZ4
